skim_type,skim_variable,n_missing,complete_rate,factor.ordered,factor.n_unique,factor.top_counts,factor.prop_na,factor.prop_0,factor.prop_1,factor.miss_40,factor.miss_50,factor.miss_70,factor.miss_90,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist,numeric.prop_na,numeric.miss_50,numeric.miss_70,numeric.miss_90
factor,new_child,0,1,FALSE,2,"no: 17758, yes: 2997",0,0.86,0.14,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,country,0,1,FALSE,7,"Geo: 4401, Aus: 3910, Rus: 3740, Fra: 3182",0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,sex,0,1,FALSE,2,"fem: 12279, mal: 8476",0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,partner_sat,989,0.9523488316068417,TRUE,6,"com: 8759, no : 5290, mos: 4231, sat: 1109",0.048,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,migrant,36,0.9982654781980246,FALSE,2,"yes: 19187, no: 1532",0.002,0.07,0.93,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,education,310,0.985063840038545,TRUE,6,"upp: 9024, ter: 6462, pos: 2602, low: 2177",0.015,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,marital_status,64,0.996916405685377,FALSE,4,"mar: 10461, nev: 8383, div: 1620, wid: 227",0.003,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,partner_status,8,0.9996145507106722,FALSE,3,"co-: 13365, no : 5290, non: 2092",0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,gave_birth,1,0.999951818838834,FALSE,2,"no: 19110, yes: 1644",0,0.92,0.08,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,dead_child,7691,0.6294386894724162,FALSE,2,"no: 12786, yes: 278",0.371,0.98,0.02,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,activity_status,54,0.9973982172970368,FALSE,10,"emp: 13592, une: 2033, loo: 2015, stu: 1678",0.003,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,dwell_ownership,0,1,FALSE,3,"own: 13907, not: 5971, oth: 877",0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,general_health,3,0.9998554565165021,TRUE,5,"goo: 9523, ver: 5909, fai: 4596, bad: 635",0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,hh_type,0,1,FALSE,9,"cou: 10052, liv: 3268, liv: 2246, cou: 2164",0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,sett_type,0,1,FALSE,2,"urb: 13409, rur: 7346",0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
factor,intentions,1697,0.918236569501325,FALSE,2,"yes: 12257, no: 6801",0.082,0.36,0.64,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
numeric,age,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.19354372440377,7.821887139212147,18,27,34,40,45,▅▅▆▆▇,0,FALSE,FALSE,FALSE
numeric,nr_kids,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2502529510961198,1.1882261487418015,0,0,1,2,12,▇▁▁▁▁,0,FALSE,FALSE,FALSE
numeric,age_youngest,7653,0.6312695735967238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.821935582353763,5.953561579617723,0,3,7,12,56,▇▃▁▁▁,0.369,FALSE,FALSE,FALSE
